Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
4439,Robert Covington,2023-11-02,32-323,PHI,,TOR,W 114-99,,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.9,-2,F-C,covinro01
4440,Robert Covington,2023-11-04,32-325,PHI,,PHO,W 112-100,,18,0,3,.000,0,0,,0,3,.000,2,2,1.000,.258,1,3,4,0,2,1,2,3,2,1.0,-6.1,8,F-C,covinro01
4441,Robert Covington,2023-11-06,32-327,PHI,,WAS,W 146-128,,4,2,2,1.000,1,1,1.000,1,1,1.000,2,2,1.000,1.215,0,0,0,0,3,1,0,2,7,9.3,67.1,0,F-C,covinro01
4442,Robert Covington,2023-11-08,32-329,PHI,,BOS,W 106-103,,15,2,4,.500,1,2,.500,1,2,.500,0,0,,.625,2,1,3,0,2,0,0,2,5,5.9,8.1,6,F-C,covinro01
4443,Robert Covington,2023-11-10,32-331,PHI,@,DET,W 114-106,,14,1,3,.333,0,0,,1,3,.333,0,0,,.500,0,0,0,0,4,0,0,0,3,5.3,8.7,3,F-C,covinro01
4444,Robert Covington,2023-11-12,32-333,PHI,,IND,W 137-126,,16,1,5,.200,1,3,.333,0,2,.000,0,0,,.200,2,3,5,2,0,0,0,1,2,2.2,-9.8,-1,F-C,covinro01
4445,Robert Covington,2023-11-14,32-335,PHI,,IND,L 126-132,*,16,1,3,.333,1,1,1.000,0,2,.000,0,0,,.333,0,1,1,1,0,1,0,2,2,1.2,-3.1,-1,F-C,covinro01
4446,Robert Covington,2023-11-15,32-336,PHI,,BOS,L 107-117,*,37,6,13,.462,6,8,.750,0,5,.000,4,4,1.000,.542,3,3,6,0,2,0,0,1,16,13.9,1.0,-10,F-C,covinro01
4447,Robert Covington,2023-11-17,32-338,PHI,@,ATL,W 126-116,*,20,2,4,.500,0,2,.000,2,2,1.000,0,0,,.750,4,3,7,3,1,1,1,4,6,8.9,8.3,3,F-C,covinro01
4448,Robert Covington,2023-11-19,32-340,PHI,@,BRK,W 121-99,,11,2,2,1.000,2,2,1.000,0,0,,0,0,,1.000,0,2,2,0,1,1,0,1,4,5.3,8.6,3,F-C,covinro01
4449,Robert Covington,2023-11-21,32-342,PHI,,CLE,L 119-122 (OT),,14,1,3,.333,0,1,.000,1,2,.500,0,0,,.500,3,4,7,1,2,2,1,0,3,7.7,15.3,-3,F-C,covinro01
4450,Robert Covington,2023-11-22,32-343,PHI,@,MIN,L 99-112,,20,2,4,.500,2,3,.667,0,1,.000,1,2,.500,.512,1,5,6,0,0,2,0,2,5,5.4,-1.4,6,F-C,covinro01
4451,Robert Covington,2023-11-25,32-346,PHI,@,OKC,W 127-123,,21,3,5,.600,1,2,.500,2,3,.667,1,2,.500,.765,0,1,1,0,1,1,0,5,9,6.3,1.5,-8,F-C,covinro01
4452,Robert Covington,2023-11-27,32-348,PHI,,LAL,W 138-94,,18,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,3,4,7,2,0,1,0,1,0,2.9,-4.6,14,F-C,covinro01
4453,Robert Covington,2023-11-29,32-350,PHI,@,NOP,L 114-124,,30,4,5,.800,0,1,.000,4,4,1.000,0,0,,1.200,2,5,7,1,0,1,0,3,12,13.2,8.5,11,F-C,covinro01
4454,Robert Covington,2023-12-01,32-352,PHI,@,BOS,L 119-125,,30,4,9,.444,1,3,.333,3,6,.500,7,7,1.000,.745,3,2,5,1,5,1,2,4,18,18.8,10.8,-9,F-C,covinro01
4455,Robert Covington,2023-12-06,32-357,PHI,@,WAS,W 131-126,,4,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,1,1,0,-1.1,-21.1,-3,F-C,covinro01
4456,Robert Covington,2023-12-11,32-362,PHI,,WAS,W 146-101,,14,2,3,.667,0,0,,2,3,.667,2,2,1.000,1.031,1,3,4,0,1,0,0,1,8,8.9,9.9,18,F-C,covinro01
4457,Robert Covington,2023-12-13,32-364,PHI,@,DET,W 129-111,,17,2,4,.500,2,2,1.000,0,2,.000,1,1,1.000,.563,0,6,6,2,0,0,1,2,5,4.4,-4.3,1,F-C,covinro01
4458,Robert Covington,2023-12-15,33-001,PHI,,DET,W 124-92,,13,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,1,2,3,0,1,0,1,0,0,-0.1,-11.6,10,F-C,covinro01
4459,Robert Covington,2023-12-16,33-002,PHI,@,CHO,W 135-82,,14,0,0,,0,0,,0,0,,0,0,,,0,3,3,0,0,1,1,2,0,-0.2,-6.3,9,F-C,covinro01
4460,Robert Covington,2023-12-18,33-004,PHI,,CHI,L 104-108,,15,1,3,.333,1,3,.333,0,0,,0,0,,.333,1,1,2,0,2,1,0,2,2,3.2,-0.6,-15,F-C,covinro01
4461,Robert Covington,2023-12-22,33-008,PHI,,TOR,W 121-111,,24,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,3,3,2,1,1,0,4,0,1.7,-3.5,15,F-C,covinro01
4462,Robert Covington,2023-12-27,33-013,PHI,@,ORL,W 112-92,,11,1,2,.500,1,1,1.000,0,1,.000,0,1,.000,.410,0,1,1,2,2,0,1,2,2,2.5,3.8,0,F-C,covinro01
4463,Robert Covington,2023-12-29,33-015,PHI,@,HOU,W 131-127,,16,3,5,.600,3,4,.750,0,1,.000,1,1,1.000,.643,2,2,4,0,3,0,0,4,7,8.1,3.5,3,F-C,covinro01
4464,Robert Covington,2023-12-30,33-016,PHI,@,CHI,L 92-105,,5,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,0,0,0,0,0,0,-0.4,-17.8,1,F-C,covinro01
4465,Torrey Craig,2023-10-25,32-310,CHI,,OKC,L 104-124,,22,4,6,.667,1,2,.500,3,4,.750,0,0,,.917,4,3,7,1,0,0,1,2,11,11.0,5.0,-12,G-F,craigto01
4466,Torrey Craig,2023-10-27,32-312,CHI,,TOR,W 104-103 (OT),,24,3,7,.429,2,3,.667,1,4,.250,0,0,,.500,3,2,5,0,1,1,0,2,7,6.9,1.9,-6,G-F,craigto01
4467,Torrey Craig,2023-10-28,32-313,CHI,@,DET,L 102-118,,23,2,7,.286,2,5,.400,0,2,.000,0,0,,.286,1,2,3,0,0,1,0,3,4,0.7,-14.6,-12,G-F,craigto01
4468,Torrey Craig,2023-10-30,32-315,CHI,@,IND,W 112-105,,20,2,3,.667,1,2,.500,1,1,1.000,0,0,,.833,1,3,4,1,2,1,2,3,5,5.5,3.6,5,G-F,craigto01
4469,Torrey Craig,2023-11-01,32-317,CHI,@,DAL,L 105-114,,17,1,2,.500,1,1,1.000,0,1,.000,0,0,,.500,2,3,5,1,0,0,0,3,2,2.8,-5.3,1,G-F,craigto01
4470,Torrey Craig,2023-11-03,32-319,CHI,,BRK,L 107-109,*,23,1,4,.250,0,2,.000,1,2,.500,0,0,,.375,0,6,6,4,1,0,1,4,3,3.6,-1.8,6,G-F,craigto01
4471,Torrey Craig,2023-11-04,32-320,CHI,@,DEN,L 101-123,*,27,3,6,.500,3,5,.600,0,1,.000,1,1,1.000,.543,2,4,6,3,1,0,0,1,7,9.3,0.2,-19,G-F,craigto01
4472,Torrey Craig,2023-11-06,32-322,CHI,,UTA,W 130-113,*,20,1,3,.333,0,2,.000,1,1,1.000,0,0,,.500,0,3,3,2,1,1,0,5,3,3.3,-2.1,8,G-F,craigto01
4473,Torrey Craig,2023-11-08,32-324,CHI,,PHO,L 115-116 (OT),*,20,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,0,2,2,1,1,0,0,3,0,-1.0,-12.3,-24,G-F,craigto01
4474,Torrey Craig,2023-11-12,32-328,CHI,,DET,W 119-108,*,31,1,6,.167,0,2,.000,1,4,.250,0,0,,.250,3,7,10,2,1,0,0,3,3,4.6,-7.4,12,G-F,craigto01
4475,Torrey Craig,2023-11-13,32-329,CHI,@,MIL,L 109-118,*,22,3,8,.375,2,4,.500,1,4,.250,1,1,1.000,.474,7,5,12,2,0,0,0,2,8,10.6,-0.1,1,G-F,craigto01
4476,Torrey Craig,2023-11-15,32-331,CHI,,ORL,L 94-96,*,28,4,7,.571,4,5,.800,0,2,.000,3,3,1.000,.661,3,4,7,0,1,0,2,1,11,9.6,1.8,-8,G-F,craigto01
4477,Torrey Craig,2023-11-17,32-333,CHI,,ORL,L 97-103,,26,1,3,.333,0,0,,1,3,.333,0,0,,.500,0,1,1,0,1,0,1,3,3,0.4,-6.4,-15,G-F,craigto01
4478,Torrey Craig,2023-11-18,32-334,CHI,,MIA,W 102-97,,17,3,5,.600,2,2,1.000,1,3,.333,0,0,,.700,1,4,5,2,0,1,0,1,7,8.3,9.5,12,G-F,craigto01
4479,Torrey Craig,2023-11-20,32-336,CHI,,MIA,L 100-118,,16,1,5,.200,1,2,.500,0,3,.000,0,0,,.200,0,1,1,0,0,0,0,1,2,-1.2,-18.2,-7,G-F,craigto01
4480,Torrey Craig,2023-11-22,32-338,CHI,@,OKC,L 102-116,,15,0,3,.000,0,0,,0,3,.000,0,0,,.000,0,3,3,0,0,0,1,4,0,-3.8,-24.0,-15,G-F,craigto01
4481,Torrey Craig,2023-11-24,32-340,CHI,@,TOR,L 108-121,,19,1,3,.333,1,2,.500,0,1,.000,3,4,.750,.525,2,3,5,1,0,1,1,2,5,4.8,-4.8,-6,G-F,craigto01
4482,Torrey Craig,2023-11-26,32-342,CHI,@,BRK,L 109-118,,20,1,2,.500,1,2,.500,0,0,,2,2,1.000,.694,2,1,3,0,0,0,2,0,4,2.7,-8.8,-25,G-F,craigto01
4483,Torrey Craig,2023-11-28,32-344,CHI,@,BOS,L 97-124,,13,1,1,1.000,0,0,,1,1,1.000,0,0,,1.500,0,1,1,0,1,1,0,0,3,4.7,4.0,-5,G-F,craigto01
4484,Torrey Craig,2023-11-30,32-346,CHI,,MIL,W 120-113 (OT),,27,4,10,.400,2,4,.500,2,6,.333,0,0,,.500,3,5,8,2,1,1,2,4,10,7.7,-2.0,14,G-F,craigto01
4485,Torrey Craig,2023-12-02,32-348,CHI,,NOP,W 124-118,,19,5,6,.833,2,2,1.000,3,4,.750,2,2,1.000,1.090,3,3,6,2,0,1,1,3,15,15.7,16.5,16,G-F,craigto01
4486,Torrey Craig,2023-12-06,32-352,CHI,,CHO,W 111-100,,17,2,4,.500,0,2,.000,2,2,1.000,0,0,,.750,3,1,4,2,1,0,0,2,6,8.0,10.1,1,G-F,craigto01
4487,Torrey Craig,2023-12-08,32-354,CHI,@,SAS,W 121-112,,23,5,8,.625,0,1,.000,5,7,.714,1,2,.500,.901,4,4,8,0,2,0,0,3,16,16.8,16.0,1,G-F,craigto01
4488,Torrey Craig,2023-12-11,32-357,CHI,@,MIL,L 129-133 (OT),,29,2,9,.222,1,4,.250,1,5,.200,2,4,.500,.325,1,4,5,1,0,1,0,6,7,1.6,-10.4,-11,G-F,craigto01
4489,Torrey Craig,2023-12-12,32-358,CHI,,DEN,L 106-114,,19,1,4,.250,1,2,.500,0,2,.000,0,0,,.250,2,3,5,1,1,0,2,4,2,0.0,-15.7,-4,G-F,craigto01
4490,Torrey Craig,2023-12-14,32-360,CHI,@,MIA,W 124-116,,23,2,7,.286,2,4,.500,0,3,.000,1,1,1.000,.336,1,2,3,0,1,0,0,3,5,2.0,-13.3,-6,G-F,craigto01
4491,Torrey Craig,2023-12-16,32-362,CHI,@,MIA,L 116-118,,14,5,7,.714,1,2,.500,4,5,.800,2,3,.667,.962,2,0,2,0,0,0,0,0,16,14.1,21.5,-11,G-F,craigto01
4492,Torrey Craig,2024-02-03,33-046,CHI,,SAC,L 115-123,,14,2,5,.400,1,1,1.000,1,4,.250,0,0,,.500,0,3,3,0,0,0,0,1,5,2.8,-6.3,-10,G-F,craigto01
4493,Torrey Craig,2024-02-06,33-049,CHI,,MIN,W 129-123 (OT),,22,2,5,.400,1,1,1.000,1,4,.250,2,2,1.000,.595,2,4,6,1,1,2,2,1,7,7.6,1.1,-2,G-F,craigto01
4494,Torrey Craig,2024-02-08,33-051,CHI,@,MEM,W 118-110,,16,1,4,.250,0,0,,1,4,.250,0,0,,.375,1,4,5,1,0,0,0,1,3,2.8,-4.3,7,G-F,craigto01
4495,Torrey Craig,2024-02-10,33-053,CHI,@,ORL,L 108-114 (OT),,21,1,3,.333,0,1,.000,1,2,.500,0,0,,.500,1,0,1,1,1,1,0,0,3,4.4,0.9,-6,G-F,craigto01
4496,Torrey Craig,2024-02-12,33-055,CHI,@,ATL,W 136-126,*,27,3,5,.600,1,1,1.000,2,4,.500,1,2,.500,.765,1,5,6,5,1,1,1,4,9,11.1,5.9,4,G-F,craigto01
4497,Torrey Craig,2024-02-14,33-057,CHI,@,CLE,L 105-108,,22,3,6,.500,1,1,1.000,2,5,.400,0,0,,.667,0,5,5,0,0,1,0,0,8,7.2,4.9,-2,G-F,craigto01
4498,Torrey Craig,2024-03-07,33-079,CHI,@,GSW,W 125-122,,14,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,2,0,1,1,1,0,0.3,-5.0,-1,G-F,craigto01
4499,Torrey Craig,2024-03-09,33-081,CHI,@,LAC,L 102-112,,13,2,6,.333,0,1,.000,2,5,.400,0,0,,.500,2,1,3,0,1,0,2,2,6,2.5,-7.3,-6,G-F,craigto01
4500,Torrey Craig,2024-03-11,33-083,CHI,,DAL,L 92-127,,17,0,1,.000,0,0,,0,1,.000,0,0,,.000,1,0,1,0,0,0,1,2,0,-1.8,-17.5,-21,G-F,craigto01
4501,Torrey Craig,2024-03-13,33-085,CHI,@,IND,W 132-129 (OT),,22,3,5,.600,1,1,1.000,2,4,.500,2,2,1.000,.850,1,4,5,2,0,0,1,3,10,8.8,4.0,-12,G-F,craigto01
4502,Torrey Craig,2024-03-14,33-086,CHI,,LAC,L 111-126,*,27,4,8,.500,0,1,.000,4,7,.571,0,2,.000,.676,0,6,6,1,0,0,0,1,12,9.3,0.2,-8,G-F,craigto01
4503,Torrey Craig,2024-03-16,33-088,CHI,,WAS,W 127-98,*,18,2,5,.400,2,2,1.000,0,3,.000,0,0,,.400,1,0,1,2,0,0,1,1,4,2.0,-9.3,5,G-F,craigto01
4504,Torrey Craig,2024-03-18,33-090,CHI,,POR,W 110-107,*,24,2,7,.286,0,2,.000,2,5,.400,0,0,,.429,1,1,2,2,1,1,0,2,6,5.2,-1.6,3,G-F,craigto01
4505,Torrey Craig,2024-03-21,33-093,CHI,@,HOU,L 117-127,*,25,4,9,.444,2,5,.400,2,4,.500,0,0,,.556,1,3,4,1,0,1,2,3,10,5.1,-6.6,-12,G-F,craigto01
4506,Torrey Craig,2024-03-23,33-095,CHI,,BOS,L 113-124,,19,4,4,1.000,1,1,1.000,3,3,1.000,0,0,,1.375,0,2,2,3,2,0,0,3,11,13.3,20.1,-3,G-F,craigto01
4507,Jae Crowder,2023-10-26,33-112,MIL,,PHI,W 118-117,,27,3,4,.750,2,3,.667,1,1,1.000,2,2,1.000,.922,0,4,4,2,2,0,1,3,9,9.8,5.7,11,F,crowdja01
4508,Jae Crowder,2023-10-29,33-115,MIL,,ATL,L 110-127,*,26,1,4,.250,1,1,1.000,0,3,.000,0,0,,.250,0,3,3,3,0,1,0,1,2,2.9,-4.3,-27,F,crowdja01
4509,Jae Crowder,2023-10-30,33-116,MIL,,MIA,W 122-114,,25,3,7,.429,1,4,.250,2,3,.667,0,0,,.571,1,4,5,2,1,1,1,2,8,7.5,2.6,-11,F,crowdja01
4510,Jae Crowder,2023-11-01,33-118,MIL,@,TOR,L 111-130,,25,3,5,.600,1,2,.500,2,3,.667,1,3,.333,.712,1,0,1,3,0,1,0,2,9,8.6,2.9,-5,F,crowdja01
4511,Jae Crowder,2023-11-03,33-120,MIL,,NYK,W 110-105,,24,5,8,.625,1,2,.500,4,6,.667,0,0,,.875,0,6,6,2,1,0,0,1,14,14.2,13.7,3,F,crowdja01
4512,Jae Crowder,2023-11-06,33-123,MIL,@,BRK,W 129-125,,30,5,10,.500,1,1,1.000,4,9,.444,1,2,.500,.689,2,3,5,0,1,0,2,1,15,10.5,-0.7,-6,F,crowdja01
4513,Jae Crowder,2023-11-08,33-125,MIL,,DET,W 120-118,*,37,3,6,.500,1,2,.500,2,4,.500,2,3,.667,.683,0,5,5,2,1,0,0,2,10,9.7,-1.1,-2,F,crowdja01
4514,Jae Crowder,2023-11-09,33-126,MIL,@,IND,L 124-126,,29,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,1.250,0,4,4,1,1,0,0,2,5,6.5,1.0,-5,F,crowdja01
4515,Jae Crowder,2023-11-11,33-128,MIL,@,ORL,L 97-112,,17,0,1,.000,0,0,,0,1,.000,1,2,.500,.266,0,2,2,0,0,0,0,0,1,0.5,-8.6,-13,F,crowdja01
4516,Jae Crowder,2024-01-17,33-195,MIL,@,CLE,L 95-135,,19,5,13,.385,1,3,.333,4,10,.400,1,2,.500,.540,0,1,1,0,1,0,0,1,15,8.4,2.1,-3,F,crowdja01
4517,Jae Crowder,2024-01-20,33-198,MIL,@,DET,W 141-135,,14,1,3,.333,1,1,1.000,0,2,.000,0,0,,.333,0,2,2,0,1,0,0,2,2,1.1,-10.0,-13,F,crowdja01
4518,Jae Crowder,2024-01-22,33-200,MIL,@,DET,W 122-113,,12,1,6,.167,0,2,.000,1,4,.250,0,0,,.250,0,2,2,1,0,0,1,1,3,-0.9,-17.1,-6,F,crowdja01
4519,Jae Crowder,2024-01-24,33-202,MIL,,CLE,W 126-116,,18,1,2,.500,0,0,,1,2,.500,0,0,,.750,1,2,3,1,0,0,3,2,3,0.2,-9.0,-2,F,crowdja01
4520,Jae Crowder,2024-01-26,33-204,MIL,,CLE,L 100-112,,22,2,4,.500,0,0,,2,4,.500,0,0,,.750,0,3,3,0,0,0,0,2,6,4.1,-0.1,-5,F,crowdja01
4521,Jae Crowder,2024-01-27,33-205,MIL,,NOP,W 141-117,*,22,2,5,.400,1,1,1.000,1,4,.250,0,0,,.500,1,3,4,1,0,0,0,3,5,3.4,-6.1,18,F,crowdja01
4522,Jae Crowder,2024-01-29,33-207,MIL,@,DEN,L 107-113,,19,1,3,.333,0,0,,1,3,.333,0,0,,.500,0,0,0,1,1,0,0,1,3,2.6,-0.7,-9,F,crowdja01
4523,Jae Crowder,2024-01-31,33-209,MIL,@,POR,L 116-119,,19,2,6,.333,1,1,1.000,1,5,.200,1,2,.500,.436,2,3,5,2,0,1,0,1,6,6.2,0.1,-11,F,crowdja01
4524,Jae Crowder,2024-02-03,33-212,MIL,@,DAL,W 129-117,,21,4,6,.667,4,5,.800,0,1,.000,0,0,,.667,0,2,2,2,2,0,0,3,8,8.2,2.0,-18,F,crowdja01
4525,Jae Crowder,2024-02-04,33-213,MIL,@,UTA,L 108-123,*,40,2,10,.200,0,3,.000,2,7,.286,0,0,,.300,0,2,2,3,1,0,0,2,6,2.7,-8.8,-19,F,crowdja01
4526,Jae Crowder,2024-02-06,33-215,MIL,@,PHO,L 106-114,,40,4,9,.444,4,5,.800,0,4,.000,2,2,1.000,.506,0,6,6,3,2,1,1,4,10,9.3,-2.2,-8,F,crowdja01
4527,Jae Crowder,2024-02-08,33-217,MIL,,MIN,L 105-129,*,37,7,11,.636,3,6,.500,4,5,.800,3,3,1.000,.852,1,7,8,5,1,0,0,2,21,22.6,7.7,-15,F,crowdja01
4528,Jae Crowder,2024-02-09,33-218,MIL,,CHO,W 120-84,*,30,1,7,.143,0,1,.000,1,6,.167,2,3,.667,.300,0,2,2,3,0,0,0,1,5,2.4,-8.6,39,F,crowdja01
4529,Jae Crowder,2024-02-12,33-221,MIL,,DEN,W 112-95,*,23,1,4,.250,1,2,.500,0,2,.000,0,0,,.250,0,1,1,1,2,0,1,0,2,1.6,-6.7,3,F,crowdja01
4530,Jae Crowder,2024-02-13,33-222,MIL,,MIA,L 97-123,*,18,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,1,0,1,1,0,0,1,0,2,2.1,-6.4,-15,F,crowdja01
4531,Jae Crowder,2024-02-15,33-224,MIL,@,MEM,L 110-113,*,24,2,4,.500,2,2,1.000,0,2,.000,0,0,,.500,1,4,5,0,1,0,1,2,4,3.1,-8.2,-5,F,crowdja01
4532,Jae Crowder,2024-02-23,33-232,MIL,@,MIN,W 112-107,*,35,1,5,.200,1,2,.500,0,3,.000,0,0,,.200,0,7,7,1,2,1,2,3,2,1.2,-7.7,3,F,crowdja01
4533,Jae Crowder,2024-02-25,33-234,MIL,@,PHI,W 119-98,*,25,0,4,.000,0,1,.000,0,3,.000,0,0,,.000,1,7,8,3,1,0,1,1,0,1.7,-7.7,17,F,crowdja01
4534,Jae Crowder,2024-02-27,33-236,MIL,,CHO,W 123-85,*,23,4,5,.800,2,2,1.000,2,3,.667,0,0,,1.000,2,5,7,2,0,0,0,1,10,12.0,9.4,33,F,crowdja01
4535,Jae Crowder,2024-02-29,33-238,MIL,@,CHO,W 111-99,*,23,2,5,.400,2,3,.667,0,2,.000,0,0,,.400,0,2,2,1,2,0,1,4,4,2.0,-8.7,17,F,crowdja01
4536,Jae Crowder,2024-03-01,33-239,MIL,@,CHI,W 113-97,*,24,1,2,.500,0,0,,1,2,.500,0,0,,.750,0,3,3,0,2,0,0,3,3,3.7,-0.8,15,F,crowdja01
4537,Jae Crowder,2024-03-04,33-242,MIL,,LAC,W 113-106,*,18,1,4,.250,0,1,.000,1,3,.333,0,0,,.375,2,0,2,1,0,0,0,1,3,2.3,-5.1,-7,F,crowdja01
4538,Jae Crowder,2024-03-06,33-244,MIL,@,GSW,L 90-125,*,17,2,6,.333,2,5,.400,0,1,.000,0,0,,.333,1,5,6,1,1,0,0,0,4,4.5,-3.5,-3,F,crowdja01
4539,Jae Crowder,2024-03-08,33-246,MIL,@,LAL,L 122-123,*,21,1,5,.200,1,3,.333,0,2,.000,2,2,1.000,.340,1,2,3,0,1,0,0,2,4,2.4,-10.2,-3,F,crowdja01
4540,Jae Crowder,2024-03-10,33-248,MIL,@,LAC,W 124-117,*,19,3,5,.600,2,3,.667,1,2,.500,0,0,,.700,1,1,2,1,1,1,0,3,7,6.9,1.3,6,F,crowdja01
4541,Jae Crowder,2024-03-12,33-250,MIL,@,SAC,L 94-129,*,16,0,0,,0,0,,0,0,,0,0,,,0,0,0,2,1,0,0,1,0,2.0,-1.9,-21,F,crowdja01
4542,Jae Crowder,2024-03-14,33-252,MIL,,PHI,W 114-105,*,19,3,8,.375,0,2,.000,3,6,.500,0,0,,.563,1,1,2,0,0,0,0,1,9,5.2,-5.5,4,F,crowdja01
4543,Jae Crowder,2024-03-17,33-255,MIL,,PHO,W 140-129,*,32,7,11,.636,3,5,.600,4,6,.667,0,0,,.818,0,2,2,0,3,0,0,1,18,16.3,4.0,9,F,crowdja01
4544,Jae Crowder,2024-03-20,33-258,MIL,@,BOS,L 119-122,*,15,3,5,.600,2,2,1.000,1,3,.333,0,0,,.700,0,2,2,2,0,0,1,4,7,4.1,-2.6,3,F,crowdja01
4545,Jae Crowder,2024-03-21,33-259,MIL,,BRK,W 115-108,*,30,3,6,.500,3,3,1.000,0,3,.000,0,0,,.500,2,1,3,2,0,0,1,1,6,4.7,-6.1,0,F,crowdja01
4546,Jae Crowder,2024-03-24,33-262,MIL,,OKC,W 118-93,,18,4,4,1.000,2,2,1.000,2,2,1.000,0,0,,1.250,0,2,2,2,1,0,0,1,10,11.4,18.6,10,F,crowdja01
4547,Jalen Crutcher,2024-02-27,24-224,NOP,@,NYK,W 115-92,,3,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-26.1,1,G,crutcja01
4548,Cade Cunningham,2023-10-25,22-030,DET,@,MIA,L 102-103,*,36,13,27,.481,9,18,.500,4,9,.444,0,0,,.556,0,3,3,9,1,1,3,5,30,20.2,8.2,-2,G,cunnica01
4549,Cade Cunningham,2023-10-27,22-032,DET,@,CHO,W 111-99,*,24,4,13,.308,2,8,.250,2,5,.400,2,2,1.000,.432,1,1,2,6,1,0,5,6,12,3.3,-8.7,7,G,cunnica01
4550,Cade Cunningham,2023-10-28,22-033,DET,,CHI,W 118-102,*,40,9,19,.474,8,15,.533,1,4,.250,6,7,.857,.566,0,4,4,10,0,0,6,3,25,15.9,-4.9,10,G,cunnica01
4551,Cade Cunningham,2023-10-30,22-035,DET,@,OKC,L 112-124,*,35,5,15,.333,2,8,.250,3,7,.429,4,5,.800,.494,0,2,2,5,0,0,7,1,17,4.8,-12.0,-14,G,cunnica01
4552,Cade Cunningham,2023-11-01,22-037,DET,,POR,L 101-110,*,37,11,27,.407,6,18,.333,5,9,.556,3,3,1.000,.530,0,5,5,4,1,0,6,3,30,13.6,-3.7,-7,G,cunnica01
4553,Cade Cunningham,2023-11-02,22-038,DET,@,NOP,L 116-125,*,34,8,22,.364,6,15,.400,2,7,.286,4,5,.800,.455,0,2,2,11,1,0,6,4,22,11.1,-5.8,3,G,cunnica01
4554,Cade Cunningham,2023-11-05,22-041,DET,,PHO,L 106-120,*,39,12,24,.500,12,18,.667,0,6,.000,2,3,.667,.513,1,2,3,6,0,1,6,2,26,13.0,-7.8,-21,G,cunnica01
4555,Cade Cunningham,2023-11-06,22-042,DET,,GSW,L 109-120,*,40,7,18,.389,6,12,.500,1,6,.167,6,7,.857,.498,0,4,4,5,2,0,5,2,21,11.7,-8.5,-9,G,cunnica01
4556,Cade Cunningham,2023-11-08,22-044,DET,@,MIL,L 118-120,*,39,11,27,.407,9,19,.474,2,8,.250,9,10,.900,.525,2,6,8,8,0,0,5,2,33,21.1,-0.2,-8,G,cunnica01
4557,Cade Cunningham,2023-11-10,22-046,DET,,PHI,L 106-114,*,36,8,18,.444,7,13,.538,1,5,.200,4,4,1.000,.531,1,3,4,7,0,0,4,5,21,12.1,-3.7,-5,G,cunnica01
4558,Cade Cunningham,2023-11-12,22-048,DET,@,CHI,L 108-119,*,38,4,15,.267,4,10,.400,0,5,.000,2,2,1.000,.315,0,3,3,5,0,1,1,4,10,3.6,-12.7,-24,G,cunnica01
4559,Cade Cunningham,2023-11-14,22-050,DET,,ATL,L 120-126,*,38,4,14,.286,3,11,.273,1,3,.333,0,0,,.321,1,2,3,12,3,0,6,3,9,6.3,-10.8,-11,G,cunnica01
4560,Cade Cunningham,2023-11-17,22-053,DET,@,CLE,L 100-108,*,34,9,21,.429,7,14,.500,2,7,.286,0,0,,.476,1,4,5,8,0,0,4,4,20,10.8,-3.7,5,G,cunnica01
4561,Cade Cunningham,2023-11-19,22-055,DET,@,TOR,L 113-142,*,27,7,17,.412,4,12,.333,3,5,.600,1,3,.333,.491,2,3,5,4,0,0,3,2,18,9.4,-6.6,-22,G,cunnica01
4562,Cade Cunningham,2023-11-20,22-056,DET,,DEN,L 103-107,*,38,7,17,.412,5,13,.385,2,4,.500,11,11,1.000,.618,0,2,2,9,3,1,5,2,27,22.7,8.3,7,G,cunnica01
4563,Cade Cunningham,2023-11-24,22-060,DET,@,IND,L 113-136,*,38,10,26,.385,8,22,.364,2,4,.500,9,9,1.000,.517,0,3,3,5,0,0,4,0,31,17.2,-7.0,-12,G,cunnica01
4564,Cade Cunningham,2023-11-27,22-063,DET,,WAS,L 107-126,*,32,10,22,.455,8,15,.533,2,7,.286,4,4,1.000,.547,1,4,5,7,1,0,1,2,26,20.6,4.9,-12,G,cunnica01
4565,Cade Cunningham,2023-11-29,22-065,DET,,LAL,L 107-133,*,23,6,15,.400,4,11,.364,2,4,.500,1,1,1.000,.486,0,4,4,5,1,0,2,1,15,10.2,-0.9,-33,G,cunnica01
