Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
233,Santi Aldama,2024-02-08,23-029,MEM,,CHI,L 110-118,*,37,6,13,.462,3,5,.600,3,8,.375,0,0,,.577,1,4,5,2,0,0,2,2,15,8.8,-6.2,-6,F,aldamsa01
234,Santi Aldama,2024-02-10,23-031,MEM,@,CHO,L 106-115,*,32,5,14,.357,4,7,.571,1,7,.143,0,2,.000,.370,1,5,6,3,2,0,0,1,11,8.3,-8.3,-3,F,aldamsa01
235,Santi Aldama,2024-02-12,23-033,MEM,,NOP,L 87-96,*,29,2,9,.222,0,1,.000,2,8,.250,0,0,,.333,0,4,4,5,0,1,1,0,6,4.9,-1.3,-12,F,aldamsa01
236,Santi Aldama,2024-02-14,23-035,MEM,,HOU,W 121-113,*,22,2,7,.286,1,1,1.000,1,6,.167,2,4,.500,.400,2,3,5,4,1,1,0,3,7,7.7,-1.5,11,F,aldamsa01
237,Santi Aldama,2024-02-15,23-036,MEM,,MIL,W 113-110,*,33,3,4,.750,2,3,.667,1,1,1.000,0,0,,.875,0,3,3,7,0,1,1,1,7,10.5,4.4,4,F,aldamsa01
238,Santi Aldama,2024-02-23,23-044,MEM,,LAC,L 95-101,*,24,3,8,.375,2,3,.667,1,5,.200,0,0,,.438,1,5,6,1,0,1,0,1,7,5.8,-3.3,-9,F,aldamsa01
239,Santi Aldama,2024-02-26,23-047,MEM,,BRK,L 86-111,*,20,3,5,.600,2,3,.667,1,2,.500,0,0,,.700,2,3,5,1,1,0,2,2,7,5.9,-1.9,-4,F,aldamsa01
240,Santi Aldama,2024-02-28,23-049,MEM,@,MIN,L 101-110,*,36,5,13,.385,4,10,.400,1,3,.333,0,0,,.423,1,4,5,1,2,2,2,2,11,7.1,-4.4,4,F,aldamsa01
241,Santi Aldama,2024-03-01,23-051,MEM,,POR,L 92-122,*,28,3,10,.300,3,6,.500,0,4,.000,0,0,,.300,3,5,8,1,0,1,4,1,6,0.8,-16.4,-37,F,aldamsa01
242,Santi Aldama,2024-03-02,23-052,MEM,,POR,L 100-107 (OT),*,37,7,15,.467,2,6,.333,5,9,.556,2,3,.667,.643,2,6,8,3,0,1,3,3,21,14.7,1.6,-17,F,aldamsa01
243,Santi Aldama,2024-03-04,23-054,MEM,@,BRK,W 106-102,*,32,5,11,.455,3,5,.600,2,6,.333,0,0,,.545,1,4,5,4,0,0,2,1,12,8.6,-1.6,-6,F,aldamsa01
244,Santi Aldama,2024-03-06,23-056,MEM,@,PHI,W 115-109,*,35,6,13,.462,3,5,.600,3,8,.375,2,2,1.000,.612,1,3,4,7,1,3,1,0,17,18.9,9.6,4,F,aldamsa01
245,Santi Aldama,2024-03-08,23-058,MEM,,ATL,L 92-99,*,32,5,7,.714,3,4,.750,2,3,.667,1,2,.500,.825,1,4,5,0,1,3,1,0,13,13.7,4.4,-14,F,aldamsa01
246,Santi Aldama,2024-03-10,23-060,MEM,@,OKC,L 93-124,*,27,2,5,.400,2,3,.667,0,2,.000,3,4,.750,.518,1,5,6,3,0,2,0,0,7,9.6,0.1,-26,F,aldamsa01
247,Santi Aldama,2024-03-12,23-062,MEM,,WAS,W 109-97,*,30,5,14,.357,5,9,.556,0,5,.000,1,2,.500,.370,0,4,4,1,2,0,1,3,11,4.5,-9.8,14,F,aldamsa01
248,Santi Aldama,2024-03-16,23-066,MEM,,OKC,L 112-118,*,39,6,12,.500,3,5,.600,3,7,.429,1,3,.333,.601,1,5,6,4,1,1,0,4,16,14.3,0.9,-4,F,aldamsa01
249,Santi Aldama,2024-03-18,23-068,MEM,@,SAC,L 111-121 (OT),*,39,5,11,.455,3,5,.600,2,6,.333,2,3,.667,.568,1,8,9,2,2,1,2,2,14,12.3,-1.0,-3,F,aldamsa01
